rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
63,Anfernee Simons,25,POR,SG,39,39,32.00,6.50,15.50,.421,3.00,8.10,.366,3.50,7.40,.481,.517,2.20,2.40,.904,0.30,2.40,2.70,4.90,0.90,0.10,2.20,1.90,18.20
64,Coby White,24,CHI,SG,40,40,32.60,6.20,14.30,.437,3.00,8.30,.364,3.20,6.00,.538,.542,2.80,3.20,.874,0.40,3.10,3.40,4.70,1.00,0.20,2.40,2.30,18.20
65,Shaedon Sharpe,21,POR,SG,35,31,31.50,6.70,14.90,.451,1.90,6.20,.312,4.80,8.70,.551,.516,2.60,3.20,.805,0.70,3.20,3.90,2.70,0.80,0.30,1.90,1.80,18.00
66,Mikal Bridges,28,NYK,SF,45,45,38.60,7.30,15.00,.490,2.40,6.80,.352,5.00,8.20,.603,.569,0.80,1.20,.731,0.90,2.20,3.10,3.20,1.00,0.50,1.50,1.40,17.90
67,John Collins,27,UTA,PF,27,18,29.90,6.60,12.50,.525,1.40,3.30,.438,5.10,9.20,.556,.583,3.40,3.90,.867,2.30,5.90,8.30,2.50,1.10,0.90,2.50,2.90,17.90
68,Tyrese Haliburton,24,IND,PG,42,42,34.50,6.10,13.80,.444,2.80,8.00,.355,3.30,5.90,.565,.546,2.80,3.20,.859,0.60,3.00,3.60,8.80,1.20,0.60,1.90,1.30,17.90
69,Jaden Ivey,22,DET,SG,30,30,29.90,6.30,13.80,.460,2.10,5.10,.409,4.20,8.60,.490,.536,2.80,3.90,.733,1.30,2.80,4.10,4.00,0.90,0.40,3.00,2.20,17.60
70,Malik Monk,26,SAC,SG,34,21,31.40,6.30,14.30,.441,2.40,7.00,.343,3.90,7.20,.537,.526,2.60,2.90,.890,0.40,3.30,3.60,5.50,1.00,0.50,1.90,2.50,17.60
71,Desmond Bane,26,MEM,SG,34,33,29.60,6.50,13.30,.490,2.20,5.80,.379,4.30,7.40,.577,.573,2.30,2.60,.865,0.90,4.80,5.60,5.20,1.40,0.40,2.50,2.40,17.50
72,Dejounte Murray,28,NOP,PG,27,27,33.40,6.20,16.20,.384,1.80,5.90,.302,4.40,10.30,.430,.438,3.00,3.60,.825,0.50,6.00,6.60,7.70,2.30,0.40,3.60,2.10,17.20
73,Bradley Beal,31,PHO,SG,30,23,32.70,6.70,13.70,.485,2.00,5.30,.386,4.60,8.50,.547,.559,1.70,2.30,.750,0.70,2.90,3.60,3.30,1.10,0.70,1.90,2.60,17.10
74,Jimmy Butler,35,MIA,PF,25,25,30.60,5.70,10.50,.540,0.50,1.40,.361,5.20,9.10,.568,.565,5.20,6.40,.801,2.20,3.00,5.20,4.80,1.10,0.40,1.20,0.90,17.00
