geolocation,industry_description,number_of_establishments_at_2020,total_employment_as_of_15_november_at_2020,paid_employment_as_of_15_november_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_as_of_15_november_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_2020,subsidies_2020
Eastern Visayas,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Travel agency and tour operator activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Other reservation service and related activities,8,40,37,0,162285,155673,5236,150437,13903,0,484,0,0
Eastern Visayas,Private security activities,4,422,413,66,70192,57638,52859,4779,67882,0,79,0,0
Eastern Visayas,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Cleaning activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Office administrative and support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Call centers and other related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Business support service activities, n.e.c.",5,43,43,0,15638,11781,5036,6745,9827,0,-217,0,0
Zamboanga Peninsula,Administrative and Support Service Activities,83,3045,3040,73,1797251,1687161,310058,1377103,432755,9971,53215,0,0
Zamboanga Peninsula,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Renting and leasing of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Activities of employment placement agencies,31,603,603,0,80298,71810,28638,43172,49918,0,15,0,0
