geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Western Visayas,Sale of motor vehicle parts and accessories,249,1955,1928,0,2681401,2503341,121562,2381780,402930,319869,0,978,0,0
Western Visayas,"Sale, maintenance and repair of motorcycles and related parts and accessories",494,5407,5407,134,17827064,15518393,768281,14750112,3420094,3268288,154627,185637,0,0
Western Visayas,Wholesale on a fee or contract basis,11,312,312,0,712446,648859,75153,573706,0,376337,0,78469,0,0
Western Visayas,Wholesale of agricultural raw materials and live animals,37,232,147,0,117506,81681,10496,71185,56220,51051,1989,3599,0,0
Western Visayas,"Wholesale of food, beverages and tobacco",224,4638,4583,8,17002381,12672980,1135116,11537865,5998732,5712207,64451,111153,0,0
Western Visayas,Wholesale of household goods,283,3965,3965,104,10844652,10423030,928028,9495001,2787207,1693457,61143,-240693,0,0
Western Visayas,"Wholesale of machinery, equipment and supplies",126,991,986,26,7924916,6652148,308540,6343608,2438582,1747119,510,205503,0,0
Western Visayas,Other specialized wholesale,179,2153,2153,29,28411166,25522318,761553,24760765,6988207,4954186,1792213,1547346,0,0
Western Visayas,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Retail sale in non-specialized stores,614,17082,16702,766,93643307,92287451,3116595,89170856,12348528,6612449,671976,754989,0,0
Western Visayas,"Retail sale of food, beverages and tobacco in specialized stores",490,2724,2724,117,10032360,9278506,358795,8919711,2097309,1332687,42785,446778,0,0
Western Visayas,Retail sale of automotive fuel in specialized stores,335,4097,4097,64,8559956,6986004,259295,6726709,2230250,1977798,0,32579,0,0
