"in_spotify_playlists","in_spotify_charts","spotify_tracking_id","streams"
1860,0,728,58687425
2224,8,729,382199619
1103,0,730,41210087
161,6,731,71007139
185,3,732,43522589
2265,0,733,231657891
839,18,734,232896922
259,0,735,37126685
2915,30,736,195576623
555,0,737,53729194
5129,25,738,532336353
3794,34,739,538115192
2050,0,740,244741137
588,0,741,46142772
2959,16,742,401036314
1493,0,743,42485571
291,8,744,127026613
2321,36,745,345031710
1545,0,746,37778188
536,10,747,288101651
359,2,748,60350538
2350,0,749,254218729
4096,6,750,335074782
1929,0,751,53603447
710,4,752,160035717
349,69,753,76767396
381,5,754,46065667
928,0,755,164163229
1194,0,756,37091576
349,6,757,284249832
1308,2,758,184622518
4531,0,759,300983101
1657,0,760,121077868
2461,36,761,459276435
277,1,762,39666245
967,5,763,138517666
8186,12,764,822633917
7842,10,765,595900742
215,6,766,51985779
1134,22,767,57945987
1305,34,768,115010040
2066,6,769,175097833
896,0,770,57089066
3763,8,771,488386797
197,0,772,32761689
4004,33,773,1047480053
984,5,774,153454328
1240,24,775,217672943
3995,13,776,457184829
4427,4,777,726434358
4657,18,778,573633020
10195,20,779,1406111294
269,4,780,71573339
214,0,781,24975653
845,2,782,145458418
1267,20,783,231332117
2585,32,784,415932686
6330,6,785,988515741
675,1,786,50847624
715,0,787,39893489
327,13,788,92035115
244,12,789,118810253
385,4,790,77233241
1020,35,791,206399629
1730,3,792,117747907
2127,33,793,266624541
3242,9,794,293186992
526,10,795,139681964
366,15,796,123132751
472,2,797,103762518
432,12,798,162887075
271,12,799,91221625
816,4,800,190490915
1169,0,801,96180277
1282,6,802,185240616
6587,34,803,885093467
1444,4,804,104992946
356,10,805,147290338
265,6,806,158950978
