geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Western Visayas,Office administrative and support activities,24,155,155,0,58975,57261,18503,38758,35430,20129,-317,744,0
Western Visayas,Call centers and other related activities,42,29072,29071,19,25922469,22621176,7778783,14842393,12256109,96807,618,96665,239892
Western Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Business support service activities, n.e.c.",4,25,25,0,11906,10118,3577,6541,7255,0,0,0,0
Central Visayas,Administrative and Support Service Activities,578,140393,140302,4782,73993312,62928302,41615325,21312977,55580482,1211036,3728,904604,16967
Central Visayas,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Renting and leasing of personal and household goods,18,402,395,5,89853,72182,40374,31807,71643,247,-3942,0,0
Central Visayas,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",14,252,252,0,399789,189588,44133,145455,287413,31757,0,0,0
Central Visayas,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Activities of employment placement agencies,110,1170,1142,124,1089936,1043068,592519,450548,682428,4416,-4593,6058,16586
Central Visayas,Temporary employment agency activities,73,38482,38452,2613,7936364,7480081,5188455,2291626,5721100,87553,809,0,0
Central Visayas,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Travel agency and tour operator activities,65,239,239,0,115553,107180,41351,65829,57754,820,0,1416,0
Central Visayas,Other reservation service and related activities,26,980,980,0,288508,972695,245931,726764,249673,0,-98,0,0
Central Visayas,Private security activities,45,9578,9577,1510,1513878,1465389,1261527,203862,1338267,25132,291,0,0
Central Visayas,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Cleaning activities,24,2508,2508,27,600432,526547,202612,323935,282060,7902,2529,0,0
Central Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Office administrative and support activities,24,482,482,0,222854,198343,51793,146550,87839,0,2985,0,0
Central Visayas,Call centers and other related activities,149,85238,85214,503,61119122,50551989,33839038,16712951,46381619,1053207,7481,897130,381
Central Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Business support service activities, n.e.c.",23,437,437,0,225739,133593,52203,81390,152547,0,-3408,0,0
Eastern Visayas,Administrative and Support Service Activities,102,4245,4233,7,1174716,978428,527236,451192,805975,3674,-117690,0,0
Eastern Visayas,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Renting and leasing of personal and household goods,5,28,28,0,6010,4990,2032,2958,3166,75,0,0,0
Eastern Visayas,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",6,39,39,0,26828,12685,3606,9079,19782,0,-172,0,0
Eastern Visayas,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Activities of employment placement agencies,11,51,51,0,19141,19176,11577,7600,10675,7,0,0,0
Eastern Visayas,Temporary employment agency activities,14,3065,3063,0,718345,571883,399785,172098,550361,3538,-62812,0,0
Eastern Visayas,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Travel agency and tour operator activities,7,26,26,0,5812,4520,2113,2407,3754,0,-3,0,0
