by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44032809977274 37.80549853211586)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44220978629164 37.8057862738592)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44660957715965 37.801787342426636)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44155902033863 37.80205025894312)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44193961214366 37.80391652702013)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43800453567651 37.80423845407946)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43970489501953 37.801536560058594)
2020-04-01T00:00:00.000,Larceny Theft,Marina,3,POINT (-122.4378890991211 37.80060958862305)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44117737724194 37.80019018537176)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4447021484375 37.800697326660156)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44451599368438 37.79976547265549)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4426498413086 37.79899978637695)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4443186203221 37.79879024459215)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44079814973743 37.7983244153502)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43877940341498 37.79667044204757)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.44376132522953 37.79603648259935)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4454116821289 37.79582595825195)
2020-04-01T00:00:00.000,Larceny Theft,McLaren Park,1,POINT (-122.4141763243238 37.7181267149201)
2020-04-01T00:00:00.000,Larceny Theft,McLaren Park,1,POINT (-122.42583481798471 37.7182793880797)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.40689849853516 37.749717712402344)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.40675777824626 37.74876647815139)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41268920898438 37.74937057495117)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4170488462938 37.74910650517882)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4212875366211 37.74885177612305)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41924664225982 37.74897378193216)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42248736491135 37.74801344882507)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42484283447266 37.748634338378906)
2020-04-01T00:00:00.000,Larceny Theft,Mission,2,POINT (-122.42484502575905 37.74863258701727)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42256927490234 37.74877166748047)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42257106316356 37.74877289682655)
2020-04-01T00:00:00.000,Larceny Theft,Mission,2,POINT (-122.42367553710938 37.74871063232422)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42398839864852 37.751911293506055)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42481994628906 37.75507354736328)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42497694528168 37.756669642555934)
