geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Western Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Management consultancy activities,10,321,308,0,173685,152764,97022,55742,116836,3501,-243,0,0
Western Visayas,Architectural and engineering activities  and related technical consultancy,21,571,549,0,256302,164054,102763,61291,198957,21340,0,0,0
Western Visayas,Technical testing and analysis,14,103,98,0,92261,71898,15726,56172,48637,306,107,0,0
Western Visayas,Research and experimental development  on natural sciences and engineering,3,39,39,2,14504,13831,5666,8165,6664,0,0,0,0
Western Visayas,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Research and experimental development  in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Advertising,19,348,335,98,165161,154060,28828,125232,28811,0,21926,0,0
Western Visayas,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Photographic activities,52,801,769,0,205135,261744,76207,185537,77155,0,0,0,0
Western Visayas,"Other professional, scientific and technical activities, n.e.c.",3,286,266,0,270405,246041,43691,202350,71993,0,0,0,0
Western Visayas,Veterinary activities,10,94,94,0,123674,84653,16218,68435,57119,355,9796,0,0
Central Visayas,"Professional, Scientific and Technical Activities",397,11043,11018,231,8075199,6499545,3622724,2876821,5622593,215400,80014,0,0
Central Visayas,Legal activities,96,1572,1560,0,515779,313125,131072,182053,348410,0,0,0,0
Central Visayas,"Accounting, bookkeeping and auditing activities;  tax consultancy",32,1074,1074,12,544454,475382,330935,144447,407371,12261,0,0,0
Central Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Management consultancy activities,33,1915,1915,23,1204542,1154655,697510,457145,878306,45086,3161,0,0
Central Visayas,Architectural and engineering activities  and related technical consultancy,66,2072,2072,74,1723276,1196784,654224,542561,1226703,8527,524,0,0
Central Visayas,Technical testing and analysis,51,455,455,14,318958,294944,115570,179374,174932,25718,1148,0,0
Central Visayas,Research and experimental development  on natural sciences and engineering,4,47,47,0,34990,30003,10327,19676,16146,234,0,0,0
Central Visayas,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Research and experimental development  in information technology,3,1859,1859,9,2202407,1935880,1278877,657004,1701609,95236,0,0,0
Central Visayas,Advertising,33,528,521,0,347315,227549,110731,116818,231776,24470,0,0,0
Central Visayas,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Specialized design activities,6,201,201,86,149997,123937,40649,83288,73658,0,-667,0,0
Central Visayas,Photographic activities,55,888,888,0,783524,597900,164563,433337,370128,3867,76009,0,0
Central Visayas,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Veterinary activities,14,258,252,13,181247,87705,59417,28288,156823,0,-162,0,0
Eastern Visayas,"Professional, Scientific and Technical Activities",43,244,244,0,71744,57973,25624,32350,42941,2699,737,0,0
Eastern Visayas,Legal activities,6,31,31,0,7406,5878,2032,3846,3871,1688,0,0,0
Eastern Visayas,"Accounting, bookkeeping and auditing activities;  tax consultancy",6,25,25,0,11039,7736,4889,2847,8393,446,-5,0,0
Eastern Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Architectural and engineering activities  and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Technical testing and analysis,12,38,38,0,5905,4959,2996,1963,4367,474,0,0,0
Eastern Visayas,Research and experimental development  on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Research and experimental development  in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Advertising,6,80,80,0,29151,26010,9751,16259,13800,0,325,0,0
Eastern Visayas,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Photographic activities,9,33,33,0,11041,9149,3522,5627,6370,0,399,0,0
Eastern Visayas,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Professional, Scientific and Technical Activities",46,303,275,0,149088,119784,49274,70510,89826,4522,298,0,0
Zamboanga Peninsula,Legal activities,12,35,35,0,6902,5116,2356,2760,4482,0,114,0,0
Zamboanga Peninsula,"Accounting, bookkeeping and auditing activities;  tax consultancy",3,57,57,0,13460,17963,5273,12690,2541,0,0,0,0
Zamboanga Peninsula,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Architectural and engineering activities  and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Technical testing and analysis,13,50,50,0,52316,35081,23047,12033,43731,4492,0,0,0
Zamboanga Peninsula,Research and experimental development  on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Research and experimental development  in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Photographic activities,13,116,90,0,62499,50918,13845,37072,29566,0,140,0,0
Zamboanga Peninsula,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Professional, Scientific and Technical Activities",122,957,948,63,5849385,5662386,189319,5473067,637607,1426024,238764,0,0
