,,,,,,,,,,,,,,"Summary Statistics for Administrative and support service activities Establishments by Region and Industry Group: Philippines, 2021 by Region, Industry description, Year and Data Items"
Region,Industry description,2021 Number  of  Establishments,2021 Total Employment as of 15 November,2021 Paid Employees as of 15 November,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors as of 15 November,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce,2021 Subsidies
..Western Visayas,..Other human resources provision,,,,,,,,,,,,,
..Western Visayas,..Travel agency and tour operator activities,7,218,218,-,148505,125875,39368,86507,107540,2181,12,105,-
..Western Visayas,..Other reservation service and related activities,22,37,37,-,5585,4459,3067,1392,4436,-,-,-,-
..Western Visayas,..Private security activities,47,7186,7185,363,1097786,1019582,944572,75011,1042885,5559,133,-,-
..Western Visayas,..Security systems service activities,3,19,18,-,5195,4870,1874,2996,2760,-,400,-,-
..Western Visayas,..Investigation activities,,,,,,,,,,,,,
..Western Visayas,..Combined facilities support activities,,,,,,,,,,,,,
..Western Visayas,..Cleaning activities,22,2547,2544,140,532810,467930,260458,207472,337596,182,18460,-,-
..Western Visayas,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Western Visayas,..Office administrative and support activities,29,226,226,-,105256,98018,88091,9926,97703,1450,8,-,-
..Western Visayas,..Call centers and other related activities,62,38694,38694,270,27719208,20876060,10000862,10875198,18812172,306311,10077,1199831,47118
..Western Visayas,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Western Visayas,"..Business support service activities, n.e.c.",21,240,240,0,93373,84464,40790,43675,57227,297,10,-,-
..Central Visayas,Administrative and support service activities,583,188276,188240,1649,83149733,71510577,52479671,19030906,68548915,1531306,9004,3289536,110595
..Central Visayas,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Central Visayas,..Renting and leasing of personal and household goods,14,48,48,-,11444,10807,3640,7167,6690,-,-,-,-
..Central Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",11,1276,1274,18,977854,883276,298317,584959,460513,231602,-,-,-
..Central Visayas,"..Leasing of intellectual property and similar products, except copyrighted works",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Activities of employment placement agencies,105,502,502,-,235778,201401,82198,119203,128954,-,-,-,-
..Central Visayas,..Temporary employment agency activities,82,39979,39978,-,8244994,7793707,6431004,1362703,7011029,83236,19574,55467,-
..Central Visayas,..Other human resources provision,,,,,,,,,,,,,
..Central Visayas,..Travel agency and tour operator activities,20,310,310,-,151662,125972,83792,42180,115925,502,101,-,-
..Central Visayas,..Other reservation service and related activities,10,713,713,9,396367,382313,295012,87301,337154,0,322,-,-
..Central Visayas,..Private security activities,54,9365,9360,955,1225896,1164570,918143,246426,1021800,5774,48,-,-
..Central Visayas,..Security systems service activities,,,,,,,,,,,,,
..Central Visayas,..Investigation activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,..Combined facilities support activities,25,4293,4293,165,756446,702202,465118,237084,533816,780,18490,-,-
..Central Visayas,..Cleaning activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,..Landscape care and maintenance service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Office administrative and support activities,18,334,327,-,119220,118346,100576,17770,103378,77,-,-,-
..Central Visayas,..Call centers and other related activities,216,130555,130538,475,70287761,59477850,43421559,16056290,58314859,1178874,8046,3234068,110595
..Central Visayas,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Central Visayas,"..Business support service activities, n.e.c.",23,683,679,27,596446,550103,352758,197345,424692,30143,-,-,-
..Eastern Visayas,Administrative and support service activities,72,3959,3934,114,1250397,1095884,659401,436483,907138,8579,13194,3440,-
..Eastern Visayas,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Eastern Visayas,..Renting and leasing of personal and household goods,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",8,173,173,-,151028,136645,31746,104899,59002,240,-,-,-
..Eastern Visayas,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Eastern Visayas,..Activities of employment placement agencies,6,1213,1213,-,216751,193400,184416,8983,209489,251,-,-,-
..Eastern Visayas,..Temporary employment agency activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Other human resources provision,,,,,,,,,,,,,
..Eastern Visayas,..Travel agency and tour operator activities,6,32,25,-,6577,5319,2055,3264,3114,-,228,-,-
..Eastern Visayas,..Other reservation service and related activities,13,261,252,12,239589,172531,48971,123560,131051,7500,235,3440,-
..Eastern Visayas,..Private security activities,3,322,319,22,48015,41155,38265,2890,45914,-,137,-,-
..Eastern Visayas,..Security systems service activities,,,,,,,,,,,,,
..Eastern Visayas,..Investigation activities,,,,,,,,,,,,,
..Eastern Visayas,..Combined facilities support activities,,,,,,,,,,,,,
..Eastern Visayas,..Cleaning activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Eastern Visayas,..Office administrative and support activities,20,92,88,-,36694,32839,25577,7262,30385,23,195,-,-
..Eastern Visayas,..Call centers and other related activities,10,1268,1268,80,179103,246010,181641,64368,150466,249,-,-,-
..Eastern Visayas,..Organization of conventions and trade shows,,,,,,,,,,,,,
